Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
"PENGARUH BERBAGAI MACAM JENIS DAN DOSIS PUPUK TERHADAP PERTUMBUHAN DAN HASIL TANAMAN GAMBAS 
(Luffa acutangula L) 
",Penulis : LENY ULY AGUSTIN,"Dosen Pembimbing I : Dr. Ir. H. Ahmad Arsyad Munir, MS","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh  jenis dan dosis pupuk organik terhadap pertumbuhan dan hasil tanaman gambas. Penelitian ini dilaksanakan di kebun percobaan sebelah barat kampus UTM dimulai pada bulan Oktober sampai Desember 2014. Rancangan lingkungan yang digunakan dalam penelitian ini adalah rancangan acak lengkap (RAL), dengan 3 kali ulangan yang disusun secara nonfaktorial. Masing-masing macam kombinasi pupuk dan dosis yaitu tanpa pupuk, pupuk kotoran sapi dengan dosis 10 ton/ha, pupuk kotoran sapi dengan dosis 20 ton/ha, pupuk kotoran sapi dengan dosis 30 ton/ha, pupuk kotoran sapi dengan dosis 40 ton/ha, dan pupuk kotoran ayam dengan dosis 10 ton/ha, pupuk kotoran ayam dengan dosis 20 ton/ha, pupuk kotoran ayam dengan dosis 30 ton/ha, pupuk kotoran ayam dengan dosis 40 ton/ha. Parameter yang diamati adalah Panjang tanaman (cm), Jumlah daun (helai), Jumlah bunga (bunga), jumlah cabang, Jumlah buah (buah), Panjang buah (cm), dan Bobot buah per tanaman (g). Data yang diperoleh dianalisis dengan menggunakan analisis of varian (ANOVA) yang apabila ada interaksi dilanjutkan dengan Beda Nyata Jarak Duncan (BNJD) 5%. Perlakuan pemberian macam pupuk organik berpengaruh nyata terhadap sebagian besar variabel pengamatan, antara lain panjang tanaman, jumlah daun, jumlah bunga, jumlah cabang, jumlah buah, panjang buah, bobot buah. Perlakuan takaran dosis pupuk organik yang paling tinggi memberikan hasil tertinggi pula pada hasil produksi tanaman gambas.


 Kata kunci: tanaman gambas, jenis pupuk, dosis pupuk
"
"PENGARUH PERBEDAAN DAERAH ASAL TANAMAN TERHADAP PERTUMBUHAN DAN HASIL SERTA KANDUNGAN ALKALOID DAN STEROID PADA TANAMAN KOLESOM
(Talinum triangulare (Jacq.)Willd.)
",Penulis : MARIYA ULFA,"Dosen Pembimbing I : Ir. Suhartono, MP",Dosen Pembimbing II :Dr.Agr.Eko Setiawan. SP.M.Si,"Kolesom merupakan salah satu tumbuhan sekulen dari famili portulaceae  yang berkhasiat obat. Tanaman obat di Indonesia berkembang semakin pesat, sejalan dengan meningkatnya kesadaran masyarakat akan kembali menggunakan bahan-bahan obat alami. Bahan obat alami lebih aman dikonsumsi dan memiiki efek samping yang lebih rendah dibandingan dengan obat-obat sintetik yang terbuat dari bahan kimia. Penelitian ini bertujuan untuk Mengetahui pengaruh perbedaan daerah asal bibit terhadap kandungan alkaloid dan steroid pada tanaman kolesom.  Penelitian ini dilakukan di Universitas Tronojoyo Bangkalan, Madura. Percobaan dilakukan secara non faktorial dengan Rancangan Acak Lengkap (RAL). Faktor tersebut yaitu: A1 :  Asal tanaman Kepulauan Kangean,  A2 : Asal tanaman Kabupaten Bangkalan, A3 : Asal tanaman Kabupaten Lumajang yang akan diujikan dengan alkaloid dan steroid. Hasil penelitian menunjukkan ada pengaruh asal bibit tanaman kolesom terhadap kandungan alkaloid dan steroid pada daun dan umbi.

Kata kunci: Tanaman Kolesom, Alkaloid, Steroid.
"
RESPON PERTUMBUHAN TANAMAN DAN KANDUNGAN ASIATIKOSIDA PEGAGAN (Centella asiatica. L.) AKIBAT PEMBERIAN PUPUK KOTORAN SAPI DI BAWAH NAUNGAN,Penulis : EKA SEFTIYANA,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, MP.","Dosen Pembimbing II :Ir. Suhartono, MP","ABSTRAK

Pegagan (Centella asiatica L.) merupakan salah satu tanaman berkhasiat obat yang memiliki manfaat dalam penyembuhan penyakit diantaranya efek anti neoplastik, efek pelindung tukak lambung, menurunkan tekanan dinding pembuluh, mempercepat penyembuhan luka, analgastik, anti imflasi, hepatroprotektor, peningkatan kecerdasan, antisporasis, anti agregasi, platelet, anti trombosis, sehingga permintaan untuk simplisia obat meningkat. Konsekuensinya penyediaan simplisia obat harus ditingkatkan, padahal budidaya terhadap tanaman ini belum lazim. Penelitian ini bertujuan untuk mengetahui respon pertumbuhan tanaman akibat pemberian pupuk kotoran sapi dan kandungan asiatikosida pada tanaman pegagan di bawah kondisi yang ternaungi. Penelitian dilaksanakan di Desa Gili Timur Kecamatan Kamal Kabupaten Bangkalan, mulai Januari - April 2015. Rancangan penelitian menggunakan Rancangan Petak Terbagi (Split Plot Design) 3 ulangan. Petak utama yaitu naungan terdiri atas 2 level tanpa naungan dan dengan naungan paranet taraf 40%. Anak petak yaitu dosis pupuk kotoran sapi terdiri atas tanpa pupuk, 10 ton/Ha, 30 ton/Ha, 40 ton/Ha. Hasil penelitian menunjukkan bahwa interaksi antara dua perlakuan tidak berbeda terhadap semua variabel pengamatan. Perlakuan naungan dibandingkan tanpa naungan berbeda nyata untuk variabel panjang tangkai daun, luas daun, dan kandungan asiatikosida pada saat panen. Perlakuan dosis pupuk 10 ton/Ha cenderung lebih tinggi pada variabel jumlah stolon, jumlah daun, bobot basah dan bobot kering tanaman dibanding perlakuan dosis pupuk lainnya, kecuali luas daun terluas dicapai pada 30 ton/Ha, sedangkan panjang tangkai daun dan kandungan asiatikosida tertinggi di capai pada 40 ton/Ha.

Kata kunci: Pegagan (Centella asiatica L.), naungan, pupuk kotoran sapi, asiatikosida

 

"
RESPON TANAMAN BAWANG MERAH (Allium ascalonicum L.) AKIBAT PEMOTONGAN UMBI BIBIT DAN INTERVAL PEMBERIAN AIR,Penulis : VIVIN WILDASARI,"Dosen Pembimbing I : Ir. H. Suhartono, MP","Dosen Pembimbing II :Dr. Agr. Eko Setiawan, SP, M.Si","Bawang merah (Allium ascalonicum L.) merupakan salah satu komoditas sayuran unggulan yang sejak lama telah diusahakan oleh petani secara intensif, komoditas ini juga merupakan sumber pendapatan dan kesempatan kerja yang memberikan kontribusi cukup tinggi terhadap perkembangan ekonomi wilayah, karena memiliki nilai ekonomi yang tinggi. Penelitian ini bertujuan untuk mengetahui pengaruh pemotongan umbi bibit dan interval pemberian air terhadap pertumbuhan dan hasil bawang merah. Penelitian ini dilaksanakan di Desa Talang Kecamatan Saronggi Kabupaten Sumenep. Waktu penelitian ini dilaksanakan pada bulan Juli hingga Agustus 2014. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) factorial yaitu U1 = tanpa pemotongan umbi bibit (kontrol), U2 = dipotong ¼ bagian ujung umbi bibit, U3 = dipotong ? bagian ujung umbi bibit dan A1 = ½ liter / 1 hari sekali,  A2 = ½ liter / 2 hari sekali, A3 = ½ liter / 3 hari sekali. Hasil penelitian menunjukkan, secara umum perlakuan pemotongan umbi bibit dan perlakuan interval pemberian air berpengaruh sangat nyata terhadap semua variabel  penelitian.

Kata Kunci : Bawang Merah, Pemotongan Umbi, Interval Pemberian Air
"
"PENGARUH  PERENDAMAN BENIH KEDELAI
(Glycine max L. Merril) PADA SUSPENSI BAKTERI PSEUDOMONAD PENDAFLOUR TERHADAP PERTUMBUHAN, PRODUKSI DAN TINGKAT SERANGAN PENYAKIT KARAT DAUN.
",Penulis : HADI SUHERMAN,"Dosen Pembimbing I : Dr. Ir. Gita Pawana, M.Si. ","Dosen Pembimbing II :Diana Nurus S. S.Farm.Apt.,M.Si. ","Evaluasi pengaruh Rizhobakteria Pseudomonad pendaflour(Pf) pada respon kedelai masih banyak kendala, penelitian ini bertujuan untuk mengetahui respon tanaman kedelai (Glycine max L. Merril) akibat inukulasi Pf pada rhizosfer terhadap pertumbuhan, produksi dan tingkat serangan penyakit karat daun. Penelitian ini menggunakan rancangan acak kelompok (RAK) non faktorial dengan 5 ulangan. Adapun faktor perlakuan tersebut adalah Kontrol, Inukulasi bakteri Pseudomonad pendaflourdan KCl, Aplikasi pupuk, Inukulasi bakteri Pseudomonad pendaflourdikombinasi aplikasi pupuk.  Penelitian ini dilakukan di Desa Socah Kecamatan Kamal Kabupaten Bangkalan dengan ketinggian tempat 12 m dpl yang dilakukan pada bulan Oktober 2014 sampai dengan bulan Januari 2015. Hasil penelitian menunjukkan bahwa inukulasi rizhobakteria tidak memberikan pengaruh nyata terhadap tinggi tanaman, jumlah daun, berat kering dan tingkat serangan penyakit karat daun, namun inukulasi yang dikombinasikan dengan pupuk SP36 dan KCl berpengaruh nyata pada jumlah polong pertanaman 

Kata Kunci :   Respon,   Kedelai,Inukulasi    Rizhobakteripseudomonad
		pendaflour,  Pupuk  Anorganik

"
PENGARUH INTERVAL PENYIRAMAN DAN DOSIS PUPUK KANDANG AYAM TERHADAP PERTUMBUHAN DAN KANDUNGAN FLAVONOID DALAM UMBI RUMPUT TEKI (Cyperus rotundus L.) ,Penulis : raudatul jannah,"Dosen Pembimbing I : Dr.Ir.R.A. Sidqi Zaed ZM.,ZM","Dosen Pembimbing II :Dr.Agr.Eko Setiawan, SP.,M.,Si","PENGARUH INTERVAL PENYIRAMAN DAN DOSIS PUPUK KANDANG AYAM TERHADAP PERTUMBUHAN DAN KANDUNGAN FLAVONOID DALAM UMBI RUMPUT TEKI (Cyperus rotundus L.) 
                                      ABSTRAK
Penelitian ini bertujuan untuk mengetahui pengaruh interval penyiraman dan dosis pupuk kandang ayam terhadap pertumbuhan dan kandungan Flavonoid dalam umbi rumput teki (Cyperus rotundus L.). Penelitian ini menggunakan Rancangan Acak Lengkap faktorial  yaitu interval penyiraman S? (penyiraman 1 kali sehari), S? (penyiraman 2 kali sehari ) dan S? (penyiraman 1 kali dalam 2 hari) dan dosis pupuk kandang ayam P? (tanpa pemupukan), P? (25 g/tanaman), dan P? (50 g/tanaman) Perlakuan diulang sebanyak 3 kali. Penelitian ini dilaksanakan di desa Aeng Dake Kecamatan Bluto Kabupaten Sumenep pada Desember 2014-Maret 2015. 
Hasil penelitian menunjukkan bahwa interval penyiraman berpengaruh nyata pada tinggi tanaman dan jumlah daun. Sedangkan pada parameter jumlah anakan, jumlah umbi, volume umbi, berat basah umbi, berat kering umbi, dan kadar flavonoid tidak berpengaruh nyata. Pada pengamatan tinggi tanaman perlakuan S? (disiram 1 kali sehari) yang paling baik diantara perlakuan yang lain. Sedangkan pada parameter jumlah daun perlakuan yang paling baik adalah pada perlakuan S? (disiram 2 kali sehari). Perlakuan pemberian dosis pupuk kandang ayam berpengaruh nyata pada parameter tinggi tanaman dan jumlah daun. sedangkan pada parameter jumlah anakan, jumlah umbi, volume umbi, berat basah umbi, berat kering umbi dan kadar flavonoid tidak berpengaruh nyata. 
Tidak ada interaksi antara perlakuan interval penyiraman dan dosis pupuk kandang ayam pada setiap parameter pertumbuhan dan kadar flavonoid dalam umbi rumput teki. Kadar flavonoid pada perlakuan S?P? (disiram 2 kali sehari) cenderung lebih tinggi (0,81 %) dibandingkan dengan perlakuan yang lain.

Kata kunci : cyperus rotundus,interval penyiraman, pupuk kandang ayam, flavonoid 
"
efek interval penyiraman terhadap kualitas dan kuantitas hasil panen jamur tiram putih (Pleurotus ostreatus),Penulis : edy sunaryo,Dosen Pembimbing I : dr. arg. eko setiawan sp. m.si,Dosen Pembimbing II :ir. ahmad arsyadmunir. ms,"EFEK INTERVAL PENYIRAMAN TERHADAP KUALITAS DAN KUANTITAS HASIL PANEN JAMUR TIRAM PUTIH (Pleurotus ostreatus)

Edy Sunaryo1, Eko Setiawan2, Ach Arsyad Munir2 

1Mahasiswa Progam Studi Agroteknologi, Fakultas Pertanian, UTM
2Staf Pengajar Progam Studi Agroteknologi, Fakultas Pertanian, UTM


ABSTRAK

Penelitian ini bertujuan untuk mengetahui interval penyiraman yang paling baik terhadap hasil panen jamur tiram putih di Madura. Penelitian dilakukan kumbung jamur tiram Desa Telang, Kamal, Bangkalan pada ketinggian tempat ± 5 m Dpl, pada musim hujan yaitu bulan Desember 2014 – April 2015. Penelitian ini menggunakan rancangan acak lengkap dengan satu faktor dan perlakuan yang dicoba adalah penyiraman pada jamur tiram yang terdiri dari 4 taraf yaitu : tanpa penyiraman, penyiraman satu hari sekali, penyiraman dua kali sehari, penyiraman tiga kali sehari. Hasil penelitian menunjukkan pada perlakuan tanpa penyiraman menunjukkan hasil tertinggi pada tekstur kekerasan diikuti oleh perlakuan penyiraman satu kali sehari, dua kali sehari dan terakhir tiga kali sehari. Perlakuan penyiraman dua kali sehari menunjukkan hasil tertinggi pada skoring warna dan aroma, sedangkan penyiraman tiga kali sehari menghasilkan jamur dengan perkembangan optimal, namun memiliki kondisi kualitas yang buruk.

Kata kunci : jamur tiram putih (pleurotus ostreatus), interval penyiraman, kualitas dan kuantitas
"
"PENGARUH PEMBERIAN PUPUK KASCING TERHADAP
PERTUMBUHAN, PRODUKSI DAN KANDUNGAN ISOFLAVON PADA
DUA VARIETAS KEDELAI (Glycine max (L.) Merrill) 
",Penulis : ERMI FADILAH,"Dosen Pembimbing I : Ir. Suhartono, M.Si ","Dosen Pembimbing II :Dr. Ir. Gita Pawana, Msi ","Peningkatkan produktivitas kedelai dapat dilakukan dengan perbaikan teknik budidaya melalui sistem pemupukan dan penggunaan varietas unggul. Kajian aplikasi pupuk kascing terhadap pertumbuhan, produksi dan kandungan isoflavon pada varietas kedelai masih terbatas, sehingga perlu dilakukan untuk mengetahui pengaruh pemberian pupuk kascing terhadap pertumbuhan, produksi, dan kandungan isoflavon pada kedelai (Glycine max (L.) Merrill) varietas Grobogan dan Gema. Penelitian ini dilaksanakan di kebun percobaan Program Studi Agroekoteknologi Universitas Trunojoyo Madura pada bulan November 2014-Maret 2015, dengan menggunakan Rancangan Acak Lengkap Kelompok (RALK) non faktorial dengan 4 kali ulangan yang terdiri atas pemberian kascing  0 kg, 1,12 kg, 1,28 kg dan 1,44 kg pada tiap petak dengan ukuran petak 1,6 m2. Hasil penelitian menunjukkan bahwa pemupukan dengan kascing pada dosis 1,28 kg/petak pada varietas Grobogan ataupun Gema dapat meningkatkan tinggi tanaman dan jumlah daun, pemupukan dengan dosis 1,44 kg/petak dapat meningkatkan kandungan isoflavon. Pada varietas Grobogan dosis kascing 1,12 kg/petak memberikan jumlah cabang produksi dan jumlah polong isi terbanyak, sedangkan pada varietas Gema dengan pemberian dosis pupuk kascing 1,44 kg/petak. Pemupukan kascing tidak mempengaruhi jumlah polong cipo dan berat biji baik pada varietas Grobogan maupun Gema. 
Kata kunci : Kedelai, pupuk kascing, varietas, pertumbuhan, produksi, isoflavon

"
PENGARUH PENGGUNAAN ATONIK  PADA BERBAGAI KONSENTRASI DAN LAMA PERENDAMAN PADA PEMBIBITAN TEBU (Saccharum officinarum L.) DENGAN SISTEM BUD CHIP,Penulis : FAJAR ZULKARNAIN,"Dosen Pembimbing I : Dr. Ir. H. AhmadArsyad Munir, M.Si","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si.","Penelitian ini bertujuan untuk mengetahui pengaruh berbagai konsentrasi Atonik dan lama perendaman serta interaksi keduanya terhadap pertumbuhan bibit tanaman tebu (Saccarum officinarum L.).penelitian ini dilaksanakan pada lahan percobaan di Telang Indah Kecamatan Kamal – Bangkalan, mulai dari bulan Mei sampai dengan Juli 2014. Penelitian ini disusun secara Faktorial yang disusun berdasarkan Rancangan Acak Lengkap (RAL) dengan tiga ulangan yang terdiri dari dua factor perlakuan yaitu Konsentrasi Atonik dengan 4 taraf yaitu 0 ml/liter air, 10 ml/liter air, 20 ml/liter air, dan 30 ml/liter air, dan perlakuan lama perendaman pada Atonik dengan 3 taraf yaitu 20 menit, 30 menit dan 40 menit. Hasil penelitian menunjukkan perendaman bibit tebu pada berbagai konsentrasi dan lama perendaman tidak memberikan pengaruh yang nyata pada semua parameter pengamatan. Pemberian atonik pada konsentrasi 30 ml/liter air dan pada lama perendaman 30 menit menghasilkan pertumbuhan bibit yang paling baik.
Kata Kunci : Tebu, Konsentrasi, Atonik, Bud Chip
"
"PENGARUH KONSENTRASI IBA (Indole Butyric Acid) TERHADAP
KEBERHASILAN PERTAUTAN SAMBUNG SAMPING (Side Grafting) TANAMAN SRIKAYA (Annona squamosa L.)
",Penulis : Achmad Ghoni Yuliyanto,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, SP, M.Si","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si","Srikaya (Annona squamosa) merupakan tanaman buah tropis yang banyak tumbuh di Indonesia. Perbanyakan tanaman Srikaya dapat menggunakan penyambungan salah satunya sambung samping. Tujuan penelitian ini untuk mengetahui pengaruh pemberian IBA pada konsentrasi yang berbeda dan mengetahui konsentrasi yang tepat dalam pemberian IBA untuk meningkatkan keberhasilan pertautan sambung samping pada srikaya. Penelitian ini dilakukan pada bulan April - Juli 2015. Penelitian dilakukan di Desa Banyu Ajuh Kecamatan Kamal, Kabupaten Bangkalan. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) non faktorial terdiri atas 5 taraf konsentrasi IBA yaitu 0 (kontrol), 50, 100, 150, dan 200 ppm dengan 4 kali ulangan. Hasil penelitian menunjukan bahwa pemberian IBA memberikan pengaruh berbeda nyata pada waktu muncul tunas. Pemberian IBA 100 ppm dapat meningkatkan jumlah daun sebanyak 12,43 helai, tinggi tunas 14,62 cm, dan keberhasilan pertautan sambungan sebesar 95%. 
Kata Kunci : Annona squamosa, IBA, sambung samping.
"
RESPON PERTUMBUHAN DAN HASIL TANAMAN BAMBARA GROUNDNUT (Vigna Subterrania (L.) Verdcourt) AKIBAT JARAK TANAM DAN POLA TANAM YANG BERBEDA,Penulis : ika nurvita sari,"Dosen Pembimbing I : Dr. Ir. H. Ahmad Arsyad Munir, M.S","Dosen Pembimbing II :Dr. Ir. Eko Murniyanto, M.P","ABSTRAK
Kacang bambara groundnut merupakan salah satu kacang-kacangan yang belum diperhatikan  di  Indonesia.  Di  daerah  asalnya,  Afrika  Barat,  tanaman kacang bambara groundnut telah mendapat  banyak  perhatian  dengan  banyaknya  penelitian yang  mengungkap  bahwa  Bambara  groundnut  adalah  pangan  yang  menjanjikan tetapi  tidak  begitu  diperhatikan. Penelitian ini bertujuan untuk mengetahui pengaruh jarak tanam, pengaruh pola tanam dan interaksi pada kacang bambara grundnut terhadap  pertumbuhan dan hasil. Penelitian dilakukan di kebun percobaan hortikultura Socha pada bulan Maret 2015 hingga Juni 2015 dengan menerapkan Rancangan perlakuan Split Plot Design dengan rancang lingkungan RAK 8 perlakuan diulang 4 kali data yang diperoleh dianalisis menggunkan Analisis of Varians (ANOVA). Perlkuan yang dicoba terdiri dari P1J1(Perlakuan bedengan dengan jarak tanam 10x40 cm), P1J2 (Perlakuan bedengan dengan jarak tanam 20x40 cm), P1J3 (Perlakuan bedengan dengan jarak tanam 30x40 cm), P1J4 (Perlakuan bedengan dengan jarak tanam 40x40 cm) P0J1(Perlakuan Guludan dengan jarak tanam 10x40 cm), P0J2 (Perlakuan guludan dengan jarak tanam 20x40 cm) ,P0J3 (Perlakuan Guludan dengan jarak tanam 30x40 cm), P0J4 (Perlakuan guludan dengan jarak tanam 40x40 cm). Hasil penelitian terdapat adanya perbedaan nilai pertumbuhan dan produksi berdasarkan perlakuan pola tanam dan jarak tanam pada 
kacang bambara groundnut. Pada pertumbuhan perlakuan bedengan dengan jarak tanam 10x40 cm menunjukkan nilai tertinggi sedangkan pada produksi nilai tertinggi pada guludan dengan jarak tanam 40x40 cm dibandingan dengan perlakuan yang lainnya.
Kata Kunci: Kacang bambara groundnut, Pola tanam, Jarak tanam
"
"PERTUMBUHAN DAN PRODUKSI TANAMAN
TERUNG (Solanum melongena L.) PADA BEBERAPA APLIKASI KOMPOS CAIR
",Penulis : DANIEL CANDRA ZUHRIADI,"Dosen Pembimbing I : Drs. H. Kaswan Badami, M.Si","Dosen Pembimbing II :Dr. Ir. Gita Pawana, M.Si","PERTUMBUHAN DAN PRODUKSI TANAMAN TERUNG
(Solanum melongena L.) PADA BEBERAPA APLIKASI KOMPOS CAIR
Abstrak
Terung (Solanum melongena L.) merupakan tanaman sayur-sayuran yang termasuk dalam famili Solanaceae satu famili dengan tomat dan kentang. Buah terung disenangi setiap orang, baik sebagai lalapan segar maupun diolah menjadi berbagai jenis masakan. Tingginya kandungan gizi pada tanaman terung merupakan salah satu alasan komoditas terung banyak digemari. Permintaan terhadap terung terus meningkat, seiring pertambahan penduduk yang diikuti dengan meningkatnya kesadaran akan manfaat sayuran dalam memenuhi gizi keluarga, sehingga produksi tanaman terung perlu ditingkatkan. Teknik budidaya tanaman secara organik merupakan metode yang memiliki prospek baik, pertanian organik menuntut agar lahan yang digunakan tidak tercemar oleh bahan yang mempunyai kandungan kimia serta mempunyai aksesibilitas baik dan berkesinambungan. Tujuan penelitian untuk mengetahui respon pertumbuhan dan produksi tanaman terung pada beberapa aplikasi pupuk kompos cair. Desain penelitian yang digunakan yaitu Rancangan Acak kelompok (RAK) faktorial yang terdiri atas 2 faktor yaitu : faktor pertama dosis pupuk kompos cair dan faktor kedua frekuansi pengaplikasian pupuk kompos cair dengan disemprotkan pada tanaman. Faktor pertama konsentrasi ada lima taraf yaitu K0: tanpa pemberian pupuk kompos cair (kontrol), K1: 7,5 ml/liter air, K2: 15 ml/liter air, K3: 22,5 ml/liet air dan K4: 30 ml/liter air. Faktor kedua frekuensi terdapat 3 taraf yaitu 3 hari sekal, 5 hari sekali, dan 7 hari sekali. Hasil penelitian menunjukkan perlakuan pupuk kompos cair dengan berpengaruh pada semua variabel pengamatan. Perlakuan dengan konsentrasi 15 ml/liter air dan frekuensi 5 hari sekali memberikan nilai tertinggi pada semua variabel pengamatan dan terdapat interaksi pada variabel bobot buah pada perlakuan 15 ml/liter air dan frekuensi 5 hari sekali

Kata kunci: pupuk organik cair, konsentrasi dan frekuensi 

"
